Art,Name,Original Set,Release,All Sets By Art,Colors,Have,Quantity,Variant Owned,Notes,Price (R$)
5f24501c-2764-4952-93ec-d659a160140e,Acid-Spewer Dragon,DTK,2015-03-27,DTK,B,False,0,None,,0.0
60852961-6ba0-4001-aa2c-88181ee0b14f,Adult Gold Dragon,AFR,2021-07-23,"AFR, PAFR",RW,False,0,None,,0.0
e1a2ac61-67e6-40cc-bb5d-a641b3dd507b,Adult Gold Dragon,PWCS,2022-04-01,PWCS,RW,False,0,None,,0.0
9878a3d0-7ab9-4c0e-a3f9-deaeed4fa621,Adult Gold Dragon,AFR,2021-07-23,AFR,RW,False,0,None,,0.0
ace01351-0acc-4fa3-90c1-75eff8b88426,Akoum Hellkite,BFZ,2015-10-02,"BFZ, GN2, PBFZ, SCD",R,False,0,None,,0.0
b3616af1-765b-4aeb-92c3-3559243bdbd2,Akul the Unrepentant,OTJ,2024-04-19,"OTJ, POTJ",BR,False,0,None,,0.0
1fce9ccc-0c6a-43bd-9cbe-5d4ef80ed225,Alabaster Dragon,WTH,1997-06-09,WTH,W,False,0,None,,0.0
e9f36c93-321a-4964-906c-2b61f0158d00,Alabaster Dragon,POR,1997-05-01,"PLST, POR",W,False,0,None,,0.0
0640d50e-6c28-45d5-a3ab-d69719608c25,"Amareth, the Lustrous",CMR,2020-11-20,CMR,GUW,False,0,None,,0.0
e2790900-f835-40ca-affc-e7745db60677,"Amareth, the Lustrous",SLD,2025-12-01,SLD,GUW,False,0,None,,0.0
6e7d3e2b-c44a-4a95-85dd-8ad0788d730e,Ambitious Dragonborn,CLB,2022-06-10,CLB,G,False,0,None,,0.0
d9e84014-2395-4348-9c82-0e00124f57df,Amethyst Dragon // Explosive Crystal,CLB,2022-06-10,CLB,R,False,0,None,,0.0
eafe529d-41f8-4f50-94d9-076e37a93b0f,Ancestor Dragon,GS1,2018-06-22,"FDN, GS1, PLST",W,False,0,None,,0.0
c84051de-1d1c-439d-9764-82a35674145c,Ancient Brass Dragon,CLB,2022-06-10,"CLB, PCLB",B,False,0,None,,0.0
d70a22be-e41d-4483-a536-c62405beff51,Ancient Brass Dragon,CLB,2022-06-10,CLB,B,False,0,None,,0.0
50039e8d-5ffc-4abf-abca-ea91d2772d81,Ancient Brass Dragon,CLB,2022-06-10,CLB,B,False,0,None,,0.0
2fe3bb89-0630-425e-9971-632523c03897,Ancient Bronze Dragon,CLB,2022-06-10,"CLB, PCLB",G,False,0,None,,0.0
cb2769ff-eaba-422b-95d5-31557b71c122,Ancient Bronze Dragon,SLD,2026-02-09,SLD,G,False,0,None,,0.0
0f0a6c65-19e1-4e78-9705-0b7623c376f2,Ancient Bronze Dragon,CLB,2022-06-10,CLB,G,False,0,None,,0.0
78511659-ee80-47c1-a210-79fada7b623f,Ancient Bronze Dragon,CLB,2022-06-10,CLB,G,False,0,None,,0.0
d8bb0a2d-767a-4020-bed2-66261a9af9d8,Ancient Copper Dragon,CLB,2022-06-10,"CLB, PCLB",R,False,0,None,,0.0
f6cd9d66-8a07-4cb7-b877-51afb222a46f,Ancient Copper Dragon,FCA,2025-06-13,FCA,R,False,0,None,,0.0
5a5cf381-317b-43f2-b29b-9a09f67d320b,Ancient Copper Dragon,CLB,2022-06-10,CLB,R,False,0,None,,0.0
06c2b1be-d40d-4a78-a705-8813b3b66665,Ancient Copper Dragon,CLB,2022-06-10,CLB,R,False,0,None,,0.0
